categoria,clave,header,rae_id
contiene_espacios,a sensu contrario,a sensu contrario,3xNuNuB
contiene_espacios,a simili,a simili,40P0NEL
termina_con_guion,a-,a-,003XJY1
termina_con_guion,a-,a-,006hGa6
empieza_con_mayuscula,Abraham,Abraham,0A3RgnP
empieza_con_mayuscula,Abrahán,Abrahán,0A5CVRj
mayusculas,ABS,ABS,0BytV56
contiene_espacios,ad libitum,ad libitum,0m3VSvG
contiene_espacios,ad limina,ad limina,0m7crM7
contiene_espacios,ad litteram,ad litteram,0m8gjWK
contiene_espacios,ad nauseam,ad nauseam,0n7ESlF
contiene_espacios,ad nutum,ad nutum,0nEwxpa
contiene_espacios,ad pedem litterae,ad pedem litterae,0pIkOuK
contiene_espacios,ad perpetuam,ad perpetuam,0pK95xy
contiene_espacios,ad personam,ad personam,0pL4UU7
contiene_espacios,ad quem,ad quem,0pLV5dW
contiene_espacios,ad referendum,ad referendum,0pvnJ9h
contiene_espacios,ad tempus,ad tempus,0qV5tGo
contiene_espacios,ad valorem,ad valorem,0sGeln3
termina_con_guion,ad-,ad-,0gYPN6u
mayusculas,ADN,ADN,0myw40a
mayusculas,ADSL,ADSL,0qJoM3u
empieza_con_mayuscula,Adviento,Adviento,0stC04n
contiene_espacios,agnus Dei,agnus Dei,164SBCx
empieza_con_mayuscula,Agramante,Agramante,17yEAVL
empieza_con_mayuscula,Airón,Airón,1LFdt7D
empieza_con_mayuscula,Alcalá,Alcalá,1b9mt26
empieza_con_mayuscula,Alcorán,Alcorán,1eURqN6
empieza_con_mayuscula,Alcántara,Alcántara,1cDZnjj
empieza_con_mayuscula,Alejandría,Alejandría,1hPm6OK
minuscula,algún,algún,1oNT36b
empieza_con_mayuscula,Alicante,Alicante,1qFoZBi
empieza_con_mayuscula,Allen,Allen,1vLyYYb
empieza_con_mayuscula,Altísimo,Altísimo,27MdCwA
empieza_con_mayuscula,Alzheimer,Alzheimer,2B2GW59
mayusculas,AM,AM,2B6laEC
minuscula,ampère,ampère,2RUsypi
empieza_con_mayuscula,América,América,2K9Sy1z
empieza_con_mayuscula,Américas,Américas,2KSgMun
empieza_con_mayuscula,Amón,Amón,2ONo22M
empieza_con_mayuscula,Anchuelo,Anchuelo,2XhBPcl
empieza_con_mayuscula,Andrés,Andrés,2aL1PJV
empieza_con_mayuscula,Antillas,Antillas,2tTnKm1
empieza_con_mayuscula,Antonio,Antonio,2xvGZW0
empieza_con_mayuscula,Antón,Antón,2xnGUZK
minuscula,aquellos,"aquellos, llas",3MH5fe6
minuscula,aquelo,aquelo,3MH8U50
minuscula,aquelos,"aquelos, las",3MHDPUA
minuscula,aqueso,aqueso,3MZX30e
minuscula,aquesos,"aquesos, sas",3Mb2ozD
minuscula,aquesto,aquesto,3Md6DX9
minuscula,aquestos,"aquestos, tas",3MeP0Xe
empieza_con_mayuscula,Aquiles,Aquiles,3MwXR9i
empieza_con_mayuscula,Aragón,Aragón,3OPDFly
empieza_con_mayuscula,Armenia,Armenia,3ayiDp4
mayusculas,ARN,ARN,3c0nZtQ
empieza_con_mayuscula,Arquímedes,Arquímedes,3dlJeLj
empieza_con_mayuscula,Arrás,Arrás,3fgItCW
mayusculas,ATS,ATS,4LhZGwN
mayusculas,AVE,AVE,4XBPG4o
empieza_con_mayuscula,Babia,Babia,4ia1kp9
empieza_con_mayuscula,Bamba,Bamba,4vYKRIn
empieza_con_mayuscula,Barcelona,Barcelona,53yEDrc
empieza_con_mayuscula,Batavia,Batavia,5CzZmDX
empieza_con_mayuscula,Batuecas,Batuecas,5EI9lxw
empieza_con_mayuscula,Bayona,Bayona,5F9RbqA
empieza_con_mayuscula,Bañón,Bañón,4z6AVGx
minuscula,bestializarse,bestializarse,5Pa1lZo
empieza_con_mayuscula,Bierzo,Bierzo,5UdhAFU
empieza_con_mayuscula,Blas,Blas,5fuf54b
empieza_con_mayuscula,Bohemia,Bohemia,5lX1qkS
empieza_con_mayuscula,Bona,Bona,5qKuB8y
minuscula,bonoloto,bonoloto,5rfgvxt
minuscula,boîte,boîte,5ltAZe0
empieza_con_mayuscula,Brasil,Brasil,63Zi6EZ
empieza_con_mayuscula,Bright,Bright,66OJF1B
empieza_con_mayuscula,Briján,Briján,66UVreU
empieza_con_mayuscula,Bruselas,Bruselas,6BzwRGZ
contiene_espacios,Buenos Aires,Buenos Aires,6EbEq6s
empieza_con_mayuscula,Burgos,Burgos,6J0fcUY
empieza_con_mayuscula,Bárbara,Bárbara,51uTeC1
empieza_con_mayuscula,Cabo,Cabo,6S603J4
empieza_con_mayuscula,Cachano,Cachano,6VQCWZe
empieza_con_mayuscula,Calabar,Calabar,6fEftgH
empieza_con_mayuscula,Calatrava,Calatrava,6iIIWoi
empieza_con_mayuscula,Calaínos,Calaínos,6gnpx5q
empieza_con_mayuscula,Calañas,Calañas,6i2skWZ
empieza_con_mayuscula,Calleja,Calleja,6pn3vAV
empieza_con_mayuscula,Canadá,Canadá,71yMb7K
empieza_con_mayuscula,Cancelaría,Cancelaría,73pGFXR
empieza_con_mayuscula,Caplán,Caplán,7L6ZRu6
empieza_con_mayuscula,Caravaca,Caravaca,7RMcPmO
empieza_con_mayuscula,Cardona,Cardona,7VxtTzx
empieza_con_mayuscula,Carracuca,Carracuca,7fGQZiD
empieza_con_mayuscula,Casio,Casio,7p9MO7l
empieza_con_mayuscula,Caín,Caín,6dhjQcK
mayusculas,CD,CD,846shPv
mayusculas,CD-ROM,CD-ROM,848XxEW
empieza_con_mayuscula,Ceilán,Ceilán,87fFGPO
empieza_con_mayuscula,Celsius,Celsius,8AUbMc4
empieza_con_mayuscula,Chagas,Chagas,8TG2Y1j
empieza_con_mayuscula,Chiapa,Chiapa,8hyRAJC
empieza_con_mayuscula,Chile,Chile,8lFNNNW
minuscula,chullpi,chullpi,93FixWj
empieza_con_mayuscula,Cobos,Cobos,9XllUyQ
empieza_con_mayuscula,Compostela,Compostela,A2W8Ict
empieza_con_mayuscula,Congreve,Congreve,AJkPBQa
empieza_con_mayuscula,Constantinopla,Constantinopla,AR98ykC
empieza_con_mayuscula,Coria,Coria,AsN6BCQ
empieza_con_mayuscula,Corinto,Corinto,Asrumdo
empieza_con_mayuscula,Corpus,Corpus,AwSPUeK
empieza_con_mayuscula,Corán,Corán,AoOGgUs
mayusculas,COVID,COVID,BAjhQ3X
empieza_con_mayuscula,Cribas,Cribas,BGAvibS
minuscula,cualesquier,cualesquier,BRMztn0
minuscula,cualesquiera,cualesquiera,BRN0Op6
minuscula,cualquier,cualquier,BRfxGm8
minuscula,cuan,cuan,BRnREbE
empieza_con_mayuscula,Cuasimodo,Cuasimodo,BTzDed5
empieza_con_mayuscula,Cuenca,Cuenca,BZr18lT
minuscula,cuán,cuán,BRpCzFC
minuscula,cyclo-cross,cyclo-cross,Bo2hHnb
contiene_espacios,Cástor y Pólux,Cástor y Pólux,7rXwh8y
empieza_con_mayuscula,Damocles,Damocles,Br2uGNl
empieza_con_mayuscula,David,David,Bt0oZcf
mayusculas,DDT,DDT,BtBOXkO
contiene_espacios,Deo volente,Deo volente,CEUGngB
minuscula,deso,deso,DEKdXai
minuscula,desto,desto,DUJUz91
mayusculas,DIN,DIN,DnhzO94
mayusculas,DNA,DNA,E1xhjgs
mayusculas,DNI,DNI,E1yehOH
empieza_con_mayuscula,Domingo,Domingo,E6srI3L
empieza_con_mayuscula,Down,Down,EArj9SL
empieza_con_mayuscula,Duero,Duero,EF6Wx4Q
mayusculas,DVD,DVD,EITKPOm
empieza_con_mayuscula,Edipo,Edipo,ENiddAk
empieza_con_mayuscula,Egeria,Egeria,EQAZIdN
empieza_con_mayuscula,Egipto,Egipto,EQgpOy5
contiene_espacios,El Escorial,El Escorial,EWzrcO6
empieza_con_mayuscula,Electra,Electra,ETecsKf
minuscula,ellos,"ellos, llas",EYDli6v
minuscula,endeudarse,endeudarse,FCm0mlz
empieza_con_mayuscula,Ertzaintza,Ertzaintza,G4BKwyC
empieza_con_mayuscula,Escila,Escila,GE0IEc3
empieza_con_mayuscula,Escocia,Escocia,GG4ARfQ
mayusculas,ESO,ESO,GSANc3R
minuscula,esos,"esos, sas",GSL4kTT
empieza_con_mayuscula,España,España,GUQ1mFn
empieza_con_mayuscula,Espinosa,Espinosa,GbefZRR
empieza_con_mayuscula,Estocolmo,Estocolmo,Gu9qUA4
minuscula,estos,"estos, tas",GvpwejL
empieza_con_mayuscula,Etiopía,Etiopía,H4Ma8iH
empieza_con_mayuscula,Europa,Europa,H6xQqF1
empieza_con_mayuscula,Eustaquio,Eustaquio,H7jc2tJ
empieza_con_mayuscula,Fahrenheit,Fahrenheit,HUii7L9
minuscula,faleuco,faleuco,HXPDozH
empieza_con_mayuscula,Falopio,Falopio,HYXomjk
empieza_con_mayuscula,Fernambuco,Fernambuco,HmW8ay8
empieza_con_mayuscula,Flandes,Flandes,I375Q8h
empieza_con_mayuscula,Florencia,Florencia,I6lX71l
empieza_con_mayuscula,Florida,Florida,I7GzDzL
minuscula,fondonga,fondonga,IBq7XMS
minuscula,fondongo,"fondongo, ga",IBqK1SP
empieza_con_mayuscula,Fraga,Fraga,IMNds8Z
empieza_con_mayuscula,Francia,Francia,IOEl3hJ
empieza_con_mayuscula,Frisia,Frisia,IV60T4d
empieza_con_mayuscula,Gambia,Gambia,IokGGhF
empieza_con_mayuscula,Gargajo,Gargajo,Itvm0Al
empieza_con_mayuscula,Gauss,Gauss,J0kpXjJ
contiene_espacios,Gloria Patri,Gloria Patri,JFVwZ7q
empieza_con_mayuscula,Golgi,Golgi,JIqDbAr
mayusculas,GPS,GPS,JNqHTYE
empieza_con_mayuscula,Graaf,Graaf,JNs9FxZ
empieza_con_mayuscula,Guernesey,Guernesey,JoJSim0
empieza_con_mayuscula,Génova,Génova,J5ontBr
empieza_con_mayuscula,Higuera,Higuera,KNoqKXx
empieza_con_mayuscula,Hinojosa,Hinojosa,KQBLePz
minuscula,house,house,KiQ3lpc
empieza_con_mayuscula,Ignacio,Ignacio,KvazWio
contiene_espacios,in fraganti,in fraganti,LYnESFR
contiene_espacios,in illo tempore,in illo tempore,LcgKi5C
contiene_espacios,in integrum,in integrum,LcoPm3X
contiene_espacios,in itinere,in itinere,Lcxkw1S
contiene_espacios,in medias res,in medias res,Le5AFqG
contiene_espacios,in memoriam,in memoriam,LeN78IB
contiene_espacios,in mente,in mente,LeUeikl
contiene_espacios,in partibus,in partibus,LiNk5DU
contiene_espacios,in partibus infidelium,in partibus infidelium,LiNkM3K
contiene_espacios,in pectore,in pectore,LiQuOqq
contiene_espacios,in perpetuum,in perpetuum,LiSD5dk
contiene_espacios,in promptu,in promptu,LiUNB1A
contiene_espacios,in púribus,in púribus,LiWqF0U
contiene_espacios,in situ,in situ,LlJeGAq
contiene_espacios,in solidum,in solidum,LlkrAN7
contiene_espacios,in statu quo,in statu quo,LmnWpQn
contiene_espacios,in terminis,in terminis,LvQSuA9
contiene_espacios,in utroque,in utroque,M1Vgfq4
contiene_espacios,in utroque iure,in utroque iure,M1Z3Y8h
contiene_espacios,in utroque jure,in utroque jure,M1mvimL
contiene_espacios,in vitro,in vitro,M4cX8vQ
contiene_espacios,in vivo,in vivo,M4dN6uq
contiene_espacios,in voce,in voce,M4i4erf
termina_con_guion,in-,in-,L9vLorj
termina_con_guion,in-,in-,L9vXSzQ
empieza_con_mayuscula,India,India,LNY9KCm
empieza_con_mayuscula,Inglaterra,Inglaterra,LaRSGMX
contiene_espacios,invita Minerva,invita Minerva,M4WzZQH
mayusculas,IPC,IPC,M5Twh46
mayusculas,IRPF,IRPF,M6noDQ8
mayusculas,ISBN,ISBN,MAOZu6u
empieza_con_mayuscula,Islandia,Islandia,MB0uZx8
mayusculas,ISO,ISO,MBMXM4p
mayusculas,ISSN,ISSN,MCxcAvU
empieza_con_mayuscula,Italia,Italia,MDD58KS
mayusculas,IVA,IVA,MEqD4f5
empieza_con_mayuscula,Jamaica,Jamaica,MJyFETh
empieza_con_mayuscula,Japón,Japón,MLCUyS2
empieza_con_mayuscula,Jericó,Jericó,MQILtyL
empieza_con_mayuscula,Jersey,Jersey,MQrr2os
empieza_con_mayuscula,Jerusalén,Jerusalén,MQzbPWB
empieza_con_mayuscula,Jesucristo,Jesucristo,MR6KyOj
empieza_con_mayuscula,Jesé,Jesé,MR2AHpE
empieza_con_mayuscula,Jesús,Jesús,MRGvkek
empieza_con_mayuscula,Jiménez,Jiménez,MTAGuf3
empieza_con_mayuscula,Job,Job,MUvFZE2
empieza_con_mayuscula,José,José,MXXTjIR
empieza_con_mayuscula,Juanelo,Juanelo,MYe6Sdo
empieza_con_mayuscula,Judea,Judea,MZc1qI1
empieza_con_mayuscula,Koch,Koch,Mi88esE
contiene_espacios,laus Deo,laus Deo,N0CaPAD
empieza_con_mayuscula,Leiden,Leiden,N5eEqKY
empieza_con_mayuscula,Lepe,Lepe,N9Ee2WU
empieza_con_mayuscula,Loja,Loja,Na31RmH
empieza_con_mayuscula,Lombardía,Lombardía,NaNMudC
minuscula,los,"los, las",NcnX1R9
mayusculas,LP,LP,NdSmI8k
mayusculas,LSD,LSD,NdTwE3T
empieza_con_mayuscula,Lucía,Lucía,NedOJFD
empieza_con_mayuscula,Luis,Luis,NghR3Hc
empieza_con_mayuscula,Líbano,Líbano,NDyAKLE
empieza_con_mayuscula,López,López,Nbxn2nt
empieza_con_mayuscula,Madrid,Madrid,NqKY4wJ
empieza_con_mayuscula,Malta,Malta,O4XHJk2
empieza_con_mayuscula,Mancha,Mancha,O8Rku9A
empieza_con_mayuscula,Manila,Manila,OE1naPs
empieza_con_mayuscula,Marcial,Marcial,ONRi9je
empieza_con_mayuscula,Marigargajo,Marigargajo,OPoNth3
empieza_con_mayuscula,Marta,Marta,OUr4RIS
empieza_con_mayuscula,Mazagatos,Mazagatos,OgWZm2W
minuscula,maître,maître,Nwf1tnn
minuscula,milara,milara,PEjXr1Q
empieza_con_mayuscula,Misiones,Misiones,POtAWQ6
empieza_con_mayuscula,Moctezuma,Moctezuma,PTF2ICE
empieza_con_mayuscula,Montesa,Montesa,PkHOrjQ
empieza_con_mayuscula,Morfeo,Morfeo,PooW9sK
empieza_con_mayuscula,México,México,P8xNYa2
empieza_con_mayuscula,Móstoles,Móstoles,PvBgPWG
empieza_con_mayuscula,Nancy,Nancy,QEAHFfd
empieza_con_mayuscula,Neoclasicismo,Neoclasicismo,QOGQ4Fo
mayusculas,NIF,NIF,QUs4YvZ
minuscula,ningún,ningún,QVkXtgV
mayusculas,NN,NN,QXiM8Ka
empieza_con_mayuscula,Nochevieja,Nochevieja,QYNKPBi
empieza_con_mayuscula,Noé,Noé,QZ7yTGo
mayusculas,ONG,ONG,R4TmoR1
empieza_con_mayuscula,Pablo,Pablo,RO4tDSf
empieza_con_mayuscula,Pandora,Pandora,RfJXNUl
contiene_espacios,Pange lingua,Pange lingua,Rgqp5Cz
empieza_con_mayuscula,Paracleto,Paracleto,RpNlzoX
empieza_con_mayuscula,Parkinson,Parkinson,RwlF7MS
empieza_con_mayuscula,Paráclito,Paráclito,RpOyl8q
empieza_con_mayuscula,París,París,RwZXCbZ
mayusculas,PCR,PCR,SEuV5Vh
empieza_con_mayuscula,Pentecostés,Pentecostés,SUZRqwY
empieza_con_mayuscula,Pepa,Pepa,SVXjhE7
empieza_con_mayuscula,Pernambuco,Pernambuco,SgCeowE
empieza_con_mayuscula,Perogrullo,Perogrullo,Sh54Lwn
minuscula,personalísimo,personalísimo,SjcUDpP
mayusculas,PET,PET,SoqZZMD
empieza_con_mayuscula,Petri,Petri,SqEfRp9
contiene_espacios,Petrus in cunctis,Petrus in cunctis,Sqeoqgo
empieza_con_mayuscula,Peñaranda,Peñaranda,SUo2Avv
minuscula,pH,pH,SrEA7mp
empieza_con_mayuscula,Picio,Picio,SvU757d
empieza_con_mayuscula,Pinar,Pinar,T27tpQ2
empieza_con_mayuscula,Pinto,Pinto,T53z4K6
mayusculas,PNN,PNN,TSJZosQ
empieza_con_mayuscula,Polonia,Polonia,TbNJDv9
empieza_con_mayuscula,Prusia,Prusia,UVnBxQH
empieza_con_mayuscula,Purísima,Purísima,UioNNDi
mayusculas,PVC,PVC,UkOAnCk
empieza_con_mayuscula,Pórtland,Pórtland,TliOXme
empieza_con_mayuscula,Quico,Quico,UpFXsr3
minuscula,quienesquiera,quienesquiera,UpkwhAI
empieza_con_mayuscula,Quintín,Quintín,UvLfXzd
minuscula,radiobemba,radiobemba,V1WLisn
empieza_con_mayuscula,Ramos,Ramos,V6xQ3RC
mayusculas,RDSI,RDSI,VFx0o9A
empieza_con_mayuscula,Rengo,Rengo,VxQHeX7
minuscula,repelada,repelada,W0uBff3
empieza_con_mayuscula,Rh,Rh,WRW1Put
empieza_con_mayuscula,Rin,Rin,WUGZIhJ
mayusculas,RNA,RNA,WX66t39
empieza_con_mayuscula,Rodas,Rodas,WasuXuu
empieza_con_mayuscula,Roma,Roma,WdJDhRZ
empieza_con_mayuscula,Roque,Roque,Whi7JC0
empieza_con_mayuscula,Rota,Rota,Wjvk168
empieza_con_mayuscula,Rubicón,Rubicón,WmJWenV
empieza_con_mayuscula,Réaumur,Réaumur,VIf7XMT
empieza_con_mayuscula,Sajonia,Sajonia,X0VqmrU
empieza_con_mayuscula,Sancho,Sancho,XBNop6z
empieza_con_mayuscula,Segovia,Segovia,XSQdlVL
empieza_con_mayuscula,Seltz,Seltz,XUu4MjD
mayusculas,SMS,SMS,Y33DAtg
empieza_con_mayuscula,Suiza,Suiza,YfzgVJx
empieza_con_mayuscula,Talmud,Talmud,Z0xK4OZ
contiene_espacios,Tantum ergo,Tantum ergo,Z64SZbx
empieza_con_mayuscula,Tato,Tato,ZG04nnS
empieza_con_mayuscula,Telmo,Telmo,ZOOoQR5
empieza_con_mayuscula,Terranova,Terranova,ZbRuTLd
mayusculas,TNT,TNT,Zv5aljo
empieza_con_mayuscula,Toledo,Toledo,ZyMP0DR
empieza_con_mayuscula,Tolú,Tolú,ZzJnl9Q
empieza_con_mayuscula,Tortis,Tortis,a8WSycH
empieza_con_mayuscula,Troya,Troya,aoufKb3
empieza_con_mayuscula,Tíbet,Tíbet,Zi4BX1t
empieza_con_mayuscula,Túnez,Túnez,av6nlMB
minuscula,un,un,b3uuZZA
minuscula,un,un,b3vJFnW
empieza_con_mayuscula,Urías,Urías,b9WoTns
mayusculas,USB,USB,bBC7gKG
mayusculas,UVA,UVA,bD3Djdi
empieza_con_mayuscula,Valsaín,Valsaín,bJywpKO
empieza_con_mayuscula,Varolio,Varolio,bOJV5lz
empieza_con_mayuscula,Veda,Veda,bQNaoYm
empieza_con_mayuscula,Venecia,Venecia,bWkU3T4
empieza_con_mayuscula,Venezuela,Venezuela,bXRvnxi
empieza_con_mayuscula,Vicente,Vicente,bkPFqtb
mayusculas,VIH,VIH,boT2U1G
empieza_con_mayuscula,Villadiego,Villadiego,bovJ8BA
empieza_con_mayuscula,Vulgata,Vulgata,c5a0whk
contiene_espacios,Yom Kippur,Yom Kippur,cCvrW91
contiene_espacios,Yom Kipur,Yom Kipur,cCw0d3F
empieza_con_mayuscula,Ángela,Ángela,2dADLyH
otro,‒́fico,"‒́fico, ca",Hr0C0RL
otro,‒́fobo,"‒́fobo, ba",I8gtgZw
otro,‒́foro,"‒́foro, ra",IGYaabT
otro,‒́fugo,"‒́fugo, ga",IZRzRfV
otro,‒́geno,"‒́geno, na",J56cPrf
otro,‒́gono,"‒́gono, na",JL5MhfD
otro,‒́grado,‒́grado,JOysjvm
otro,‒́grafo,"‒́grafo, fa",JQ5cr8q
otro,‒́ico,"‒́ico, ca",KsOKaaZ
otro,‒́ido,"‒́ido, da",KunRvMp
otro,‒́ido,"‒́ido, da",KupfGGR
otro,‒́il,‒́il,KxPqpET
otro,‒́lisis,‒́lisis,NPxuR3s
otro,‒́logo,"‒́logo, ga",NZTxcTa
otro,‒́mano,"‒́mano, na",OFBUhWs
otro,‒́metro,‒́metro,P8UAjhT
otro,‒́paro,"‒́paro, ra",RxT2UDj
otro,‒́pedo,"‒́pedo, da",SJFh2bH
otro,‒́stato,‒́stato,YU98s1H
otro,‒́tico,"‒́tico, ca",ZibqWJB
otro,‒́trofo,"‒́trofo, fa",akrudvg
otro,‒́voro,"‒́voro, ra",c3oGhJ2
