clave,header,rae_id
Rengo,Rengo,VxQHeX7
Rh,Rh,WRW1Put
Rin,Rin,WUGZIhJ
Rodas,Rodas,WasuXuu
Roma,Roma,WdJDhRZ
Roque,Roque,Whi7JC0
Rota,Rota,Wjvk168
Rubicón,Rubicón,WmJWenV
Réaumur,Réaumur,VIf7XMT
Sajonia,Sajonia,X0VqmrU
Sancho,Sancho,XBNop6z
Segovia,Segovia,XSQdlVL
Seltz,Seltz,XUu4MjD
Suiza,Suiza,YfzgVJx
Talmud,Talmud,Z0xK4OZ
Tato,Tato,ZG04nnS
Telmo,Telmo,ZOOoQR5
Terranova,Terranova,ZbRuTLd
Toledo,Toledo,ZyMP0DR
Tolú,Tolú,ZzJnl9Q
Tortis,Tortis,a8WSycH
Troya,Troya,aoufKb3
Tíbet,Tíbet,Zi4BX1t
Túnez,Túnez,av6nlMB
Urías,Urías,b9WoTns
Valsaín,Valsaín,bJywpKO
Varolio,Varolio,bOJV5lz
Veda,Veda,bQNaoYm
Venecia,Venecia,bWkU3T4
Venezuela,Venezuela,bXRvnxi
Vicente,Vicente,bkPFqtb
Villadiego,Villadiego,bovJ8BA
Vulgata,Vulgata,c5a0whk
Ángela,Ángela,2dADLyH
