entry,rae_id
defensiva,C26UnXs
defesa,C2ammI0
definitiva,C2xcofX
deflectora,C3GzJnv
delantera,C61jM5B
"demoniaco, ca",CA1t0KC
demonomancía,CAUKrXK
demoscopía,CAdTEhm
depiladora,CExFfiw
deportiva,CFGKROV
depuradora,CGWKCGI
derecha,CGhIzGf
derechera,CGkt4Sm
derivada,CHFMUQD
desa,CJvmecR
desalinizadora,CPYAuGR
"desarrapado, da",CTaqzPD
desborradora,CZ0hS1l
descarnada,CckSRCt
descubierta,CmCVJWd
desfibradora,CympOxM
desgranadora,D21voML
deshecha,D3AlGYn
deshuesadora,D5Hzk4S
desmotadora,DCp4xqx
deso,DEKdXai
desta,DRp7Dvm
desto,DUJUz91
destrozona,DVPlRgn
destructora,DVh0BOv
desubstanciar,DWHfKac
desyerba,DZ33A5P
"desyerbador, ra",DZ3CJnj
desyerbar,DZ4g5NQ
desyerbe,DZ7wHa7
deíxis,C5EzGdz
dialéctica,DeVmnYG
didáctica,DhMugFo
diesi,DiMRh9x
diestra,DiPTLu8
dietética,Dij9xaZ
diezma,DisVruc
diezmillonésima,Dj3Y32H
diezmilmillonésima,DjAk5RD
diezmilésima,DiwvRQN
difusora,DkcvR5r
digitalizadora,Dl9L8zX
dilatoria,DmDKAjI
dinámica,DnlCMO7
"dionisiaco, ca",Dp3U3EA
diplomática,DpbEPU4
"dipsomaniaco, ca",Dq0Jzkz
directa,DquSydV
directiva,Dr0EbgN
disgrafía,DuwmzS7
dispositiva,Dxn0Qv9
disquera,DxwDzr3
distribuidora,DzLMym9
disyuntiva,DzlZLh3
diócesi,DouxdDp
dióptrica,DpAOrYZ
docena,E2tkDsg
docimástica,E3KsmnZ
doctora,E3TPUD3
dogmática,E4gY9xN
dolorosa,E5vpiMw
dominica,E7DgGFi
domótica,E7VW39A
donnadie,E8X9bSs
dorada,E955ua4
doradilla,E958hEg
dormidera,E9T85ly
dormilona,E9bMVOX
doñanadie,E8fYaTj
dragona,EBR9ret
dramática,EBiAjUr
"dromomaniaco, ca",ED0ZIc5
dueña,EEq4f2o
dulcera,EFMhTc0
dumdum,EGLQ5r2
dupla,EGhRAQD
duquesa,EHEah9L
décima,BwZDoiJ
dínamo,Do6iuhc
dómino,E7Oba30
eboraria,EIqugPN
ecdótica,EJNddKf
ecumene,EMopa0C
eczema,EN2bZvI
"eczematoso, sa",EN2k4PY
efemérides,EP6Sekl
efímera,EPcucHk
"egipcíaco, ca",EQWzn70
egílope,EQHuWTz
ejecutiva,ES0hl0W
ejecutoria,ES79aZL
electroacústica,EU4Ep3q
electrodinámica,EUDrzgO
electrolisis,EUjPJxC
electromecánica,EV6BErh
electroquímica,EVWuU8n
electrostática,EVaiNRy
electrólito,EUq9tfn
electrónica,EVKuXjS
elefancia,EW3TWMN
"elefanciaco, ca",EW46G8r
"elegiaco, ca",EWWkAKr
elevadora,EXAOBiK
eliminatoria,EXbKRhT
elite,EXsGiMb
ella,EY50QVp
"ellos, llas",EYDli6v
elástica,ETAd5oj
elíxir,EY4DaPY
em-,EZ1srLN
embarbascar,EahqRkp
embotelladora,Efp7Xv7
embutidora,EiQn9D3
emisora,EjRSfFw
empacadora,EjzpZQc
empanada,ElIu300
emperatriz,Ep4kbHs
enamorada,Ev3HXIU
encandiladora,Eyh0uku
enceradora,F4AFXtq
encimera,F6ZaVc5
encoladora,F80fzeC
encorchadora,F9LeXIa
encubierta,FAhWjic
endeudarse,FCm0mlz
endivia,FDEtd03
endoscopía,FEMziPL
endosmosis,FEXq8PK
endrina,FEwrXnz
endíadis,FCvucpO
"endócrino, na",FDYDmaW
energética,FG8G7W4
engañamundos,FL6pPgK
enhierbar,FRAEIsT
enhoramala,FREwb3a
enjuta,FTM44f5
ensayística,FcaXJkl
ensenada,Fcw7Wcw
ensillada,FdkFhWd
entresemana,Fo7OKmp
"epífito, ta",FwUDWim
erótica,G3JgoUS
esa,G4XJW3w
escaldada,G6WoxwP
escalibada,G76dZ3H
escandalosa,G9DKfMi
escarchada,GBGShkW
esclava,GEbbJUg
esclerótica,GF1GFSV
escobera,GFNxeNN
escolástica,GGuBVI0
escombrera,GHQ3Uyz
escoriación,GIm1IAO
escoriar,GIu33nD
escribana,GJthefL
escrita,GKPqSCm
esfácelo,GOyKMFj
"esos, sas",GSL4kTT
espaciotiempo,GSrCcx9
espagírica,GTHf5W2
esparraguera,GVa41Xx
espatulomancía,GWDzhDR
españolada,GUSpPin
espectroscopia,GXOFRMZ
especulativa,GXbAoWK
"espermáfito, ta",GZ7Mupc
espetaperros,Ga1CZ3G
espigadora,GamTLM6
espiroqueta,GcsHK4N
espoliación,GdeHfy2
"espoliador, ra",GdfMhwB
espoliar,Gdh1GY0
esporófito,Gf0YcE3
esposa,GfTY4qx
esquiladora,Gh8F35E
"esquimal-aleutiano, na",GheRFLm
esquinera,GhsCu7L
esta,GibSTZ8
estadística,GjiNl2l
estatuaria,Gnz8xVd
estereoscopía,Gq6x7zA
estilográfica,GsITot2
estilística,Gs9VUqT
estimativa,GscIQEU
estitiquez,GtpMjIM
estocástica,Gu7GjPJ
"estos, tas",GvpwejL
estratósfera,GxcVECZ
estrellada,GyELyc3
estrellera,GyUJ8b7
estriptís,H04e9X5
estrujadora,H1BISRP
estudiantina,H1pcZ3H
estudiantón,H1tvS8N
estática,GndlU9M
estética,GrFobgI
"estítico, ca",GtpFn7E
esvarar,H32Edkm
esvarón,H36eTuM
etiquez,H4Zn06C
euskalduna,H7TI2LI
euskaldunización,H7TqfGd
euskaldunizar,H7WDbsj
euskaldún,H7SDGB7
euskaro,H7Yx5FZ
eusquera,H7hDrIZ
evasiva,H9HGFmu
excavadora,HBSb24s
excerta,HC5bj3t
exclusiva,HCoAJbz
excusabaraja,HDb0MQv
excéntrica,HBhRpNj
exegesis,HDzogR5
exegeta,HE8hGZp
exoftalmía,HGdhqL7
exosmosis,HHLZoOg
expectable,HHtR1dd
exprofeso,HLMG9oa
extractora,HO2Q9WF
extraordinaria,HP23ktx
extraña,HOhTo3Z
extremada,HPnlTcS
extrusora,HQHgHVV
exósfera,HHLMVsi
exótica,HHPpk2K
fabulística,HRiEtym
facera,HSGu37o
"facoquero, ra",HTRbcUI
"facócero, ra",HTPOypJ
faina,HUkk6Wa
falafel,HVXYZPX
faldera,HWjfSqg
faleuco,HXPDozH
falsa,HYg6Fcf
farmacocinética,HdKazPZ
farrago,HeG5OTt
farruca,HeWuVT3
farándola,HcHlSnn
fata morgana,HfoDOVM
fiadora,HpwNOnv
fibrinólisis,HqH04sG
figulina,HsdlauG
fija,HswSZG1
filarmónica,HtwIXtn
filipina,Hv5iJQ1
filmadora,HvOCAVR
filológica,HvnDC69
