key
-able
"-acho, cha"
ISSN
IVA
Ignacio
India
Inglaterra
Islandia
Italia
Jamaica
Japón
Jericó
Jersey
Jerusalén
Jesucristo
Jesé
Jesús
Jiménez
Job
José
Juanelo
Judea
Koch
LP
LSD
Leiden
Lepe
Loja
Lombardía
Lucía
Luis
Líbano
López
Madrid
Malta
Mancha
Manila
Marcial
Marigargajo
Marta
Mazagatos
Misiones
Moctezuma
Montesa
Morfeo
México
Móstoles
NIF
NN
Nancy
Neoclasicismo
Nochevieja
Noé
ONG
PCR
PET
PNN
PVC
Pablo
Pandora
Pange lingua
Paracleto
Parkinson
Paráclito
París
Pentecostés
Pepa
Pernambuco
Perogrullo
Petri
Petrus in cunctis
Peñaranda
Picio
Pinar
Pinto
Polonia
Prusia
Purísima
Pórtland
Quico
Quintín
RDSI
RNA
Ramos
Rengo
Rh
Rin
Rodas
Roma
Roque
Rota
Rubicón
Réaumur
SMS
Sajonia
Sancho
Segovia
Seltz
Suiza
TNT
Talmud
Tantum ergo
Tato
Telmo
Terranova
Toledo
Tolú
Tortis
Troya
Tíbet
Túnez
USB
UVA
Urías
VIH
Valsaín
Varolio
Veda
Venecia
Venezuela
Vicente
Villadiego
Vulgata
Yom Kippur
Yom Kipur
a posteriori
a priori
a quo
a radice
a sensu contrario
a simili
a-
"abacalero, ra"
"abacero, ra"
"abad, desa"
"abadengo, ga"
"abajeño, ña"
"abalaustrado, da"
"abalconado, da"
"abanderado, da"
"abandonado, da"
"abaniquero, ra"
"abanquino, na"
"abanto, ta"
"abarcador, ra"
"abaritonado, da"
"abarquero, ra"
"abarquillado, da"
"abarrajado, da"
"abarrancado, da"
"abarrocado, da"
"abarrotero, ra"
"abastecedor, ra"
"abatanado, da"
"abatido, da"
"abayado, da"
"abderitano, na"
"abdicativo, va"
"abductor, ra"
"abejero, ra"
"abellacado, da"
"abellotado, da"
"aberenjenado, da"
"abestiado, da"
"abetunado, da"
"abierto, ta"
"abietino, na"
"abietáceo, a"
"abietíneo, a"
"abigarrado, da"
"abigotado, da"
"abipón, na"
"abisinio, nia"
"abismado, da"
"abismático, ca"
"abiyanés, sa"
"abizcochado, da"
"abiótico, ca"
"ablandador, ra"
"ablandativo, va"
"ablativo, va"
"ablatorio, ria"
"ablusado, da"
"abnegado, da"
"abobado, da"
"abocado, da"
"abocardado, da"
"abocelado, da"
"abocetado, da"
"abochornado, da"
"abocinado, da"
"abofado, da"
"abofeteador, ra"
"abogadesco, ca"
"abogado, da"
"abogador, ra"
"abohetado, da"
"abolengo, ga"
"abollado, da"
"abolsado, da"
"abombado, da"
"abombillado, da"
"abonado, da"
"abonador, ra"
"abondado, da"
"abondoso, sa"
"abonero, ra"
"aboquillado, da"
"abordador, ra"
"aborrachado, da"
"aborrecedor, ra"
"aborregado, da"
"aborricado, da"
"abortador, ra"
"abortero, ra"
"abortivo, va"
"abotinado, da"
"abovedado, da"
"aboyado, da"
"abrasador, ra"
"abrasilado, da"
"abrasivo, va"
"abrazador, ra"
"abrevador, ra"
"abreviado, da"
"abreviador, ra"
"abribonado, da"
"abridero, ra"
"abridor, ra"
"abrigado, da"
"abrigador, ra"
"abrigoso, sa"
"abrileño, ña"
"abrillantado, da"
"abrillantador, ra"
"abromado, da"
"abroquelado, da"
"abrumador, ra"
"abrupto, ta"
"abrutado, da"
"abruzo, za"
"abscóndito, ta"
"absoluto, ta"
"absolutorio, ria"
"absolvedor, ra"
"absorto, ta"
"abstemio, mia"
"abstersivo, va"
"abstractivo, va"
"abstracto, ta"
"abstraído, da"
"abstruso, sa"
"absuelto, ta"
"absurdo, da"
"abuelastro, tra"
"abuelo, la"
"abuhado, da"
"abuhardillado, da"
"abultado, da"
"abundado, da"
"abundoso, sa"
"aburelado, da"
"aburrado, da"
"aburrido, da"
"aburridor, ra"
"abusado, da"
"abusador, ra"
"abusionero, ra"
"abusivo, va"
"abusón, na"
"abuñolado, da"
"abuñuelado, da"
"abyecto, ta"
"abúlico, ca"
"acabado, da"
"acabador, ra"
"acaballado, da"
"acaballerado, da"
"acabangado, da"
"acabellado, da"
"acabronado, da"
"acaciano, na"
"acadio, dia"
"académico, ca"
"acaecedero, ra"
"acalefo, fa"
"acallador, ra"
"acalorado, da"
"acalumniador, ra"
"acalórico, ca"
"acamado, da"
"acambrayado, da"
"acamellado, da"
"acampanado, da"
"acamuzado, da"
"acanalado, da"
"acanallado, da"
"acandilado, da"
"acanelado, da"
"acanillado, da"
"acantilado, da"
"acantinflado, da"
"acanto-, -acanto"
"acantocéfalo, la"
"acantopterigio, gia"
"acantáceo, a"
"acaparador, ra"
"acaparrosado, da"
"acaponado, da"
"acapulqueño, ña"
"acaracolado, da"
"acarambanado, da"
"acaramelado, da"
"acariciador, ra"
"acarminado, da"
"acarnerado, da"
"acarrascado, da"
"acarreadizo, za"
"acarreado, da"
"acarreador, ra"
"acartonado, da"
"acasamatado, da"
"acastañado, da"
"acastillado, da"
"acastorado, da"
"acateco, ca"
"acatólico, ca"
"acaudalado, da"
"acaudalador, ra"
"acaudillador, ra"
"acañutado, da"
"accesorio, ria"
"accidentado, da"
"accidentario, ria"
"accionario, ria"
"accitano, na"
"acebollado, da"
"acebrado, da"
"acebucheno, na"
"acechador, ra"
"acechón, na"
"acedo, da"
"aceitero, ra"
"aceitoso, sa"
"aceitunado, da"
"aceitunero, ra"
"aceituno, na"
"acelajado, da"
"acelerado, da"
"acelerador, ra"
"acemilado, da"
"acendrado, da"
"aceptador, ra"
"acepto, ta"
"aceptor, ra"
"acerado, da"
"acerbo, ba"
"acercador, ra"
"acerero, ra"
"acerino, na"
"acertado, da"
"acertador, ra"
"acertajón, na"
"aceráceo, a"
"aceríneo, a"
"aceto, ta"
"acezoso, sa"
"aceñero, ra"
"achacacheño, ña"
"achacoso, sa"
"achajuanado, da"
"achambergado, da"
"achampanado, da"
"achampañado, da"
"achantado, da"
"achaparrado, da"
"achaquiento, ta"
"acharolado, da"
"achatado, da"
"achicado, da"
"achicador, ra"
"achichado, da"
"achinado, da"
"achinelado, da"
"achinero, ra"
"achiotado, da"
"achiotero, ra"
"achiquillado, da"
"achocolatado, da"
"acholado, da"
"achuchado, da"
"achulado, da"
"achulapado, da"
"achumpipado, da"
"achusemado, da"
"achín, na"
"aciago, ga"
"acibarado, da"
"acicalado, da"
"acicalador, ra"
"acidalio, lia"
"acidioso, sa"
"acidulado, da"
"acientífico, ca"
"aciguatado, da"
"acintado, da"
"aclamador, ra"
"aclamatorio, ria"
"aclamídeo, a"
"aclarado, da"
"aclarador, ra"
"aclaratorio, ria"
"aclavelado, da"
"acleido, da"
"aclorhídrico, ca"
"acobambino, na"
"acobardado, da"
"acobrado, da"
"acoceador, ra"
"acochinado, da"
"acodado, da"
"acodillado, da"
"acogedizo, za"
"acogedor, ra"
"acogido, da"
"acogollado, da"
"acogullado, da"
"acollarado, da"
"acomayino, na"
"acomedido, da"
"acometedor, ra"
"acomodadizo, za"
"acomodado, da"
"acomodador, ra"
"acomodaticio, cia"
"acompasado, da"
"acompañado, da"
"acompañador, ra"
"acomplejado, da"
"acomplexionado, da"
"aconcagüino, na"
"acondicionado, da"
"acondicionador, ra"
"acondroplásico, ca"
"acongojado, da"
"acongojador, ra"
"aconsejado, da"
"aconsejador, ra"
"acontecedero, ra"
"acontecido, da"
"acontiado, da"
"acopado, da"
"acopetado, da"
"acopiador, ra"
"acoplador, ra"
"acorazonado, da"
"acorchado, da"
"acordado, da"
"acordonado, da"
"acornado, da"
"acorneador, ra"
"acorredor, ra"
"acosador, ra"
"acostado, da"
"acostadote, ta"
"acostumbrado, da"
"acotiledóneo, a"
"acrecentador, ra"
"acreditado, da"
"acreditativo, va"
"acreedor, ra"
"acribador, ra"
"acriminador, ra"
"acriollado, da"
"acrisolado, da"
"acrisolador, ra"
"acristalado, da"
"acristianado, da"
"acroamático, ca"
"acrobático, ca"
"acromado, da"
"acromegálico, ca"
"acromiano, na"
"acromático, ca"
"acrático, ca"
"acrílico, ca"
"acrítico, ca"
"acrónico, ca"
"acróstico, ca"
"actinomorfo, fa"
"activador, ra"
"activo, va"
"actor, ra"
"actor, triz"
"actuado, da"
"actualizador, ra"
"actuario, ria"
"actuoso, sa"
"actínico, ca"
"acuarelado, da"
"acuarelístico, ca"
"acuariano, na"
"acubado, da"
"acucharado, da"
"acuchillado, da"
"acuchillador, ra"
"acuciador, ra"
"acucioso, sa"
"acuicultor, ra"
"aculado, da"
"acuminado, da"
"acuminoso, sa"
"acumulador, ra"
"acumulativo, va"
"acuoso, sa"
"acupuntor, ra"
"acurado, da"
"acusado, da"
"acusador, ra"
"acusatorio, ria"
"acusón, na"
"acuto, ta"
"acuático, ca"
"acuífero, ra"
"acuñador, ra"
"acádico, ca"
"acárido, da"
"acéfalo, la"
"acérrimo, ma"
"acético, ca"
"acídulo, la"
"acólito, ta"
"acústico, ca"
ad libitum
ad limina
ad litteram
ad nauseam
ad nutum
ad pedem litterae
ad perpetuam
ad personam
ad quem
ad referendum
ad tempus
ad valorem
ad-
"adamado, da"
"adamantino, na"
"adamascado, da"
"adaptador, ra"
"adaptativo, va"
"adecuado, da"
"adelantado, da"
"adelantador, ra"
"adelgazador, ra"
"adenoideo, a"
"adenopático, ca"
"adenoso, sa"
"adepto, ta"
"aderezado, da"
"adestrado, da"
"adestrador, ra"
"adhesivo, va"
"adiabático, ca"
"adiamantado, da"
"adiano, na"
"adicionador, ra"
"adictivo, va"
"adicto, ta"
"adiestrado, da"
"adiestrador, ra"
"adinerado, da"
"adinámico, ca"
"adiposo, sa"
"aditicio, cia"
"aditivo, va"
"adivinador, ra"
"adivinatorio, ria"
"adivino, na"
"adjetivador, ra"
"adjetivo, va"
"adjudicador, ra"
"adjudicatario, ria"
"adjunto, ta"
"adjurado, da"
"adjutor, ra"
"administrado, da"
"administrador, ra"
"administrativo, va"
"administratorio, ria"
"admirador, ra"
"admirativo, va"
"admonitor, ra"
"admonitorio, ria"
"adnado, da"
"adnato, ta"
"adobador, ra"
"adocenado, da"
"adoctrinador, ra"
"adolorado, da"
"adolorido, da"
"adonado, da"
"adoptador, ra"
"adoptando, da"
"adoptivo, va"
"adoquinador, ra"
"adorador, ra"
"adormecedor, ra"
"adornador, ra"
"adosado, da"
"adovelado, da"
"adquirido, da"
"adquiridor, ra"
"adquisidor, ra"
"adquisitivo, va"
"adrado, da"
"adrenalínico, ca"
"adrenérgico, ca"
"adriático, ca"
"adscripto, ta"
"adscrito, ta"
"aduanero, ra"
"aductor, ra"
"aduendado, da"
"adufero, ra"
"adulador, ra"
"adulatorio, ria"
"adulterador, ra"
"adulterino, na"
"adulto, ta"
"adulón, na"
"adunco, ca"
"adundado, da"
"adustivo, va"
"adusto, ta"
"advenedizo, za"
"advenidero, ra"
"adventicio, cia"
"adversario, ria"
"adversativo, va"
"adverso, sa"
"advertido, da"
"advocatorio, ria"
"adámico, ca"
"adánico, ca"
"adélfico, ca"
"adúltero, ra"
"aerobio, bia"
"aerocriptográfico, ca"
"aerodinámico, ca"
"aerofágico, ca"
"aerográfico, ca"
"aerolítico, ca"
"aeromozo, za"
"aeromántico, ca"
"aeronato, ta"
"aeronáutico, ca"
"aeroportuario, ria"
"aerostero, ra"
"aerostático, ca"
"aerotécnico, ca"
"aerífero, ra"
"aeróbico, ca"
"aerófobo, ba"
"aerófono, na"
"afaccionado, da"
"afamado, da"
"afanado, da"
"afanador, ra"
"afanoso, sa"
"afarallonado, da"
"afarolado, da"
"afeador, ra"
"afecho, cha"
"afectado, da"
"afectador, ra"
"afectivo, va"
"afecto, ta"
"afectuoso, sa"
"afeitador, ra"
"afelpado, da"
"afeminado, da"
"aferidor, ra"
"aferrador, ra"
"aferruzado, da"
"afestonado, da"
"afgano, na"
"afianzador, ra"
"aficionado, da"
"aficionador, ra"
"afiebrado, da"
"afijado, da"
"afijo, ja"
"afilado, da"
"afilador, ra"
"afiliado, da"
"afiligranado, da"
"afilo, la"
"afilosofado, da"
"afinador, ra"
"afincado, da"
"afirmador, ra"
"afirmativo, va"
"aflamencado, da"
"aflautado, da"
"aflechado, da"
"aflictivo, va"
"aflicto, ta"
"afligido, da"
"aforado, da"
"aforrado, da"
"aforrador, ra"
"aforrecho, cha"
"afortunado, da"
"aforístico, ca"
"afrailado, da"
"afrancesado, da"
"afranjado, da"
"afrentador, ra"
"afrentoso, sa"
"afresado, da"
"africado, da"
"africano, na"
"afrisonado, da"
"afro, fra"
"afroamericano, na"
"afroantillano, na"
"afroasiático, ca"
"afrocubano, na"
"afrodisiaco, ca"
"afrodisíaco, ca"
"afronegro, gra"
"afronorteamericano, na"
"afrontado, da"
"afrutado, da"
"aftoso, sa"
"afuciado, da"
"afuereño, ña"
"afuerino, na"
"afumado, da"
"afásico, ca"
"afónico, ca"
"afótico, ca"
"agachón, na"
"agalbanado, da"
"agalgado, da"
"agallado, da"
"agallegado, da"
"agallonado, da"
"agalludo, da"
"agallú, a"
"agamuzado, da"
"aganipeo, a"
"agarabatado, da"
"agarbado, da"
"agarbanzado, da"
"agareno, na"
"agaricáceo, a"
"agarrado, da"
"agarrador, ra"
"agarrotado, da"
"agasajado, da"
"agasajador, ra"
"agatino, na"
"agauchado, da"
"agavillado, da"
"agavillador, ra"
"agazapado, da"
"agenciero, ra"
"agencioso, sa"
"agentivo, va"
"agestado, da"
"agigantado, da"
"agilipollado, da"
"agitado, da"
"agitador, ra"
"agitanado, da"
"aglutinador, ra"
"aglutinógeno, na"
"agnado, da"
"agnaticio, cia"
agnus Dei
"agnósico, ca"
"agnóstico, ca"
"agobiado, da"
"agobiador, ra"
"agonioso, sa"
"agonístico, ca"
"agorador, ra"
"agorafóbico, ca"
"agorero, ra"
"agorilado, da"
"agostador, ra"
"agostero, ra"
"agosteño, ña"
"agostizo, za"
"agotado, da"
"agotador, ra"
"agozcado, da"
"agracero, ra"
"agraceño, ña"
"agraciado, da"
"agradador, ra"
"agradecido, da"
"agramador, ra"
"agramontino, na"
"agramontés, sa"
"agrandado, da"
"agranujado, da"
"agrario, ria"
"agravador, ra"
"agravatorio, ria"
"agraviado, da"
"agraviador, ra"
"agravioso, sa"
"agredido, da"
"agregado, da"
"agregativo, va"
"agregatorio, ria"
"agremiado, da"
"agresivo, va"
"agresor, ra"
"agriado, da"
"agricultor, ra"
"agrietado, da"
"agrimensor, ra"
"agringado, da"
"agrio, gria"
"agrisado, da"
"agrisetado, da"
"agro, gra"
"agroalimentario, ria"
"agroecológico, ca"
"agrológico, ca"
"agronómico, ca"
"agropecuario, ria"
"agroquímico, ca"
"agrotóxico, ca"
"agrupador, ra"
"agrónomo, ma"
"aguacateco, ca"
"aguacatero, ra"
"aguacatón, na"
"aguachento, ta"
"aguachinoso, sa"
"aguadero, ra"
"aguadillano, na"
"aguado, da"
"aguador, ra"
"aguaitador, ra"
"aguajero, ra"
"aguajirado, da"
"agualotoso, sa"
"aguambado, da"
"aguamelado, da"
"aguamielero, ra"
"aguanoso, sa"
"aguantador, ra"
"aguantón, na"
"aguarapado, da"
"aguardentero, ra"
"aguardentoso, sa"
"aguardillado, da"
"aguatero, ra"
"aguayo, ya"
"aguazoso, sa"
"agucioso, sa"
"agudo, da"
"aguerrido, da"
"aguijador, ra"
"aguijoneador, ra"
"aguileño, ña"
"aguisado, da"
"agujereado, da"
"agujetero, ra"
"aguoso, sa"
"agustiniano, na"
"agustino, na"
"aguzadero, ra"
"aguzado, da"
"aguzador, ra"
"agógico, ca"
"agónico, ca"
"ahebrado, da"
"ahechador, ra"
"ahelgado, da"
"ahembrado, da"
"ahidalgado, da"
"ahigadado, da"
"ahijado, da"
"ahijador, ra"
"ahilado, da"
"ahincado, da"
"ahistórico, ca"
"ahobachonado, da"
"ahogadero, ra"
"ahogadizo, za"
"ahogado, da"
"ahogador, ra"
"ahombrado, da"
"ahondador, ra"
"ahorcadizo, za"
"ahorcado, da"
"ahorcador, ra"
"ahorquillado, da"
"ahorrado, da"
"ahorrador, ra"
"ahorrativo, va"
"ahorroso, sa"
"ahotado, da"
"ahuachapaneco, ca"
"ahuchador, ra"
"ahuecador, ra"
"ahuesado, da"
"ahuevado, da"
"ahulado, da"
"ahumado, da"
"ahurragado, da"
"ahusado, da"
"ahuyentador, ra"
"ahíto, ta"
"aindiado, da"
"aiquileño, ña"
"airado, da"
"airoso, sa"
"aisenino, na"
"aislado, da"
"aislador, ra"
"aizoáceo, a"
"ajado, da"
"ajambado, da"
"ajamonado, da"
"ajedrecístico, ca"
"ajedrezado, da"
"ajenador, ra"
"ajeno, na"
"ajerezado, da"
"ajero, ra"
"ajetreado, da"
"ajicero, ra"
"ajimezado, da"
"ajobero, ra"
"ajolotado, da"
"ajuanetado, da"
"ajuglarado, da"
"ajuiciado, da"
"ajuno, na"
"ajustado, da"
"ajustador, ra"
"ajustero, ra"
"ajusticiado, da"
"alabador, ra"
"alabancero, ra"
"alabancioso, sa"
"alabardado, da"
"alabastrado, da"
"alabastrino, na"
"alabeado, da"
"alabiado, da"
"alabradorado, da"
"alacranado, da"
"alado, da"
"alagadizo, za"
"alagartado, da"
"alambicado, da"
"alambiquero, ra"
"alamborado, da"
"alamán, na"
"alanceador, ra"
"alangieo, a"
"alangiáceo, a"
"alano, na"
"alantoideo, a"
"alaraco, ca"
"alarconiano, na"
"alardoso, sa"
"alargado, da"
"alargador, ra"
"alarmador, ra"
"alaskeño, ña"
"alasqueño, ña"
"alastoso, sa"
"alatinado, da"
"alauseño, ña"
"alavés, sa"
"alazano, na"
"alazán, na"
"albaceteño, ña"
"albahío, a"
"albanado, da"
"albano, na"
"albanés, sa"
"albarazado, da"
"albardado, da"
"albarizo, za"
"albarraniego, ga"
"albarrazado, da"
"albarráneo, a"
"albayaldado, da"
"albayano, na"
"albazano, na"
"albañalero, ra"
"albedriador, ra"
"albendero, ra"
"albergador, ra"
"alberguero, ra"
"albero, ra"
"alberquero, ra"
"albino, na"
"albo, ba"
"alboguero, ra"
"alborotadizo, za"
"alborotado, da"
"alborotador, ra"
"alborotero, ra"
"alborotoso, sa"
"alborozado, da"
"alborozador, ra"
"albugíneo, a"
"albuminado, da"
"albuminoideo, a"
"albuminoso, sa"
"albureado, da"
"albureador, ra"
"alburero, ra"
"alcabalatorio, ria"
"alcachofado, da"
"alcachofero, ra"
"alcahuete, ta"
"alcaladino, na"
"alcalaeño, ña"
"alcalareño, ña"
"alcalaíno, na"
"alcalde, desa"
"alcalino, na"
"alcalinotérreo, a"
"alcanforado, da"
"alcantarino, na"
"alcanzadizo, za"
"alcanzado, da"
"alcanzador, ra"
"alcanzativo, va"
"alcaparrado, da"
"alcaraceño, ña"
"alcarchofado, da"
"alcarracero, ra"
"alcarreño, ña"
"alcazareño, ña"
"alcañizano, na"
"alcireño, ña"
"alcoholado, da"
"alcoholero, ra"
"alcoholizado, da"
"alcohólico, ca"
"alcojolado, da"
"alcornoqueño, ña"
"alcorzado, da"
"alcoránico, ca"
"alcoyano, na"
"alcucero, ra"
"alcurniado, da"
"aldeaniego, ga"
"aldeano, na"
"aldehídico, ca"
"aldino, na"
"aleatorio, ria"
"alebrestado, da"
"aleccionador, ra"
"aledaño, ña"
"alegador, ra"
"alegatorio, ria"
"alegrador, ra"
"alegroso, sa"
"alegón, na"
"alegórico, ca"
"alejado, da"
"alejandrino, na"
"alelado, da"
"alelomorfo, fa"
"alelomórfico, ca"
"alemanesco, ca"
"alemanisco, ca"
"alemanés, sa"
"alemán, na"
"alemánico, ca"
"alentado, da"
"alentador, ra"
"alentejano, na"
"alentoso, sa"
"aleonado, da"
"alergeno, na"
"alergológico, ca"
"alergénico, ca"
"alergólogo, ga"
"alertado, da"
"alertador, ra"
"alerto, ta"
"alesnado, da"
"aletargado, da"
"aletargador, ra"
"aleutiano, na"
"alevantadizo, za"
"alevoso, sa"
"alexifármaco, ca"
"alexitímico, ca"
"aleznado, da"
"alfabetizado, da"
"alfabetizador, ra"
"alfabetizando, da"
"alfabeto, ta"
"alfabético, ca"
"alfanjado, da"
"alfanumérico, ca"
"alfarero, ra"
"alfareño, ña"
"alfarrazador, ra"
"alfayate, ta"
"alfileresco, ca"
"alfombrero, ra"
"alfonsino, na"
"alforjero, ra"
"algabeño, ña"
"algaido, da"
"algaliero, ra"
"algarabiado, da"
"algareador, ra"
"algarero, ra"
"algarivo, va"
"algebraico, ca"
"algecireño, ña"
"algodonero, ra"
"algodonoso, sa"
"algonquino, na"
"algorítmico, ca"
"algoso, sa"
"algotro, tra"
"alguacil, la"
"alguacilesco, ca"
"alguacilillo, lla"
"alguero, ra"
"alguno, na"
"algébrico, ca"
algún
"alhajito, ta"
"alharaquero, ra"
"alharaquiento, ta"
"aliabierto, ta"
"aliacanado, da"
"aliado, da"
"aliadófilo, la"
"aliblanco, ca"
"alicantino, na"
"alicatador, ra"
"alicaído, da"
"alicorto, ta"
"alienado, da"
"alienígeno, na"
"alifático, ca"
"alijador, ra"
"alijariego, ga"
"alimanisco, ca"
"alimentador, ra"
"alimentario, ria"
"alimenticio, cia"
"alimentoso, sa"
"alimpiador, ra"
"alindado, da"
"alineado, da"
"aliquebrado, da"
"alirrojo, ja"
"alisador, ra"
"alismatáceo, a"
"alismáceo, a"
"alistado, da"
"alistador, ra"
"alistano, na"
"aliterado, da"
"aliterativo, va"
"aliviador, ra"
"alivioso, sa"
"aliáceo, a"
"aliñado, da"
"aliñador, ra"
"aliñoso, sa"
"aljamiado, da"
"allanador, ra"
"allegadizo, za"
"allegado, da"
"allegador, ra"
"almacenero, ra"
"almacigado, da"
"almaciguero, ra"
"almadrabero, ra"
"almadreñero, ra"
"almagrero, ra"
"almagreño, ña"
"almanaquero, ra"
"almastigado, da"
"almazarero, ra"
"almenado, da"
"almendrado, da"
"almibarado, da"
"almidonado, da"
"almizclado, da"
"almizclero, ra"
"almizcleño, ña"
"almo, ma"
"almodovareño, ña"
"almohadado, da"
"almohadillado, da"
"almohadillero, ra"
"almonedero, ra"
"almorraniento, ta"
"almorzado, da"
"almuercero, ra"
"alnado, da"
"alobadado, da"
"alobado, da"
"alobrógico, ca"
"alobunado, da"
"alocado, da"
"alogador, ra"
"alogénico, ca"
"alojado, da"
"alojero, ra"
"alomado, da"
"alométrico, ca"
"alongado, da"
"alopiado, da"
"alopático, ca"
"alopécico, ca"
"alotrópico, ca"
"aloético, ca"
"alparcero, ra"
"alpargatado, da"
"alpargatero, ra"
"alpino, na"
"alpujarreño, ña"
"alquiladizo, za"
"alquilador, ra"
"alquilón, na"
"alquitranado, da"
"alquímico, ca"
"alrevesado, da"
"alsaciano, na"
"altaico, ca"
"altanero, ra"
"altarero, ra"
"altaricón, na"
"alteradizo, za"
"alterador, ra"
"alterativo, va"
"altercador, ra"
"alternado, da"
"alternativo, va"
"alterno, na"
"alteroso, sa"
"alteño, ña"
"altimétrico, ca"
"altiplánico, ca"
"altiricón, na"
"altivo, va"
"alto, ta"
"altoaragonés, sa"
"altoperuano, na"
"altramucero, ra"
"altílocuo, cua"
"altísono, na"
"alucinado, da"
"alucinador, ra"
"alucinatorio, ria"
"alucinógeno, na"
"aludido, da"
"aludo, da"
"alumbrado, da"
"alumbrador, ra"
"alumbroso, sa"
"aluminoso, sa"
"alumno, na"
"alunado, da"
"alunarado, da"
"alusivo, va"
"alveolado, da"
"alvino, na"
"alzadizo, za"
"alzado, da"
"alzador, ra"
"alélico, ca"
"alérgeno, na"
"alérgico, ca"
"alífero, ra"
"alígero, ra"
"alípedo, da"
"alóctono, na"
"alófono, na"
"alógeno, na"
"alógico, ca"
"alón, na"
"amacigado, da"
"amadamado, da"
"amado, da"
"amador, ra"
"amadroñado, da"
"amaestrado, da"
"amaestrador, ra"
"amalfitano, na"
"amalgamador, ra"
"amamantador, ra"
"amanecido, da"
"amanerado, da"
"amanojado, da"
"amanoso, sa"
"amansador, ra"
"amanzanado, da"
"amaracino, na"
"amarantáceo, a"
"amarcigado, da"
"amargado, da"
"amargo, ga"
